year	rot_year	rot_cycle	scenario	field	Crop	CC	GCseeded	yield_MC	yield_CC	C_manure	stock
2015	1	4	Now	7ha	Grass	.	.	10167	.	4100	conv_high
2016	2	4	Now	7ha	Grass	.	.	9195	.	4100	conv_high
2017	3	4	Now	7ha	Maize	CC	.	11211	285	1220	conv_high
2018	4	4	Now	7ha	Maize	CC	.	11211	285	1750	conv_high
2019	5	4	Now	7ha	Grain	.	GCs	4505	1100	1610	conv_high
2000	1	1	Now	9ha	Grass	.	.	10167	.	4100	conv_high
2001	2	1	Now	9ha	Maize	CC	.	11211	285	1220	conv_high
2002	3	1	Now	9ha	Maize	.	.	11211	.	1750	conv_high
2003	4	1	Now	9ha	Maize	CC	.	11211	285	2090	conv_high
2004	5	1	Now	9ha	Grain	.	GCs	4505	1100	1610	conv_high
2005	1	2	Now	9ha	Grass	.	.	10167	.	4100	conv_high
2006	2	2	Now	9ha	Maize	CC	.	11211	285	1220	conv_high
2007	3	2	Now	9ha	Maize	.	.	11211	.	1750	conv_high
2008	4	2	Now	9ha	Maize	CC	.	11211	285	2090	conv_high
2009	5	2	Now	9ha	Grain	.	GCs	4505	1100	1610	conv_high
2010	1	3	Now	9ha	Grass	.	.	10167	.	4100	conv_high
2011	2	3	Now	9ha	Maize	CC	.	11211	285	1220	conv_high
2012	3	3	Now	9ha	Maize	.	.	11211	.	1750	conv_high
2013	4	3	Now	9ha	Maize	CC	.	11211	285	2090	conv_high
2014	5	3	Now	9ha	Grain	.	GCs	4505	1100	1610	conv_high
2015	1	4	Now	9ha	Grass	.	.	10167	.	4100	conv_high
2016	2	4	Now	9ha	Maize	CC	.	11211	285	1220	conv_high
2017	3	4	Now	9ha	Maize	.	.	11211	.	1750	conv_high
2018	4	4	Now	9ha	Maize	CC	.	11211	285	2090	conv_high
2019	5	4	Now	9ha	Grain	.	GCs	4505	1100	1610	conv_high
2000	1	1	Now	4ha	Grass	.	.	10167	.	3330	conv_low
2001	2	1	Now	4ha	Grass	.	.	9195	.	3330	conv_low
2002	3	1	Now	4ha	Grass	.	.	8597	.	3330	conv_low
2003	4	1	Now	4ha	Grain	CC	.	4505	1100	880	conv_low
2004	5	1	Now	4ha	Grain	.	GCs	4505	1100	1310	conv_low
2005	1	2	Now	4ha	Grass	.	.	10167	.	3330	conv_low
2006	2	2	Now	4ha	Grass	.	.	9195	.	3330	conv_low
2007	3	2	Now	4ha	Grass	.	.	8597	.	3330	conv_low
2008	4	2	Now	4ha	Grain	CC	.	4505	1100	880	conv_low
2009	5	2	Now	4ha	Grain	.	GCs	4505	1100	1310	conv_low
2010	1	3	Now	4ha	Grass	.	.	10167	.	3330	conv_low
2011	2	3	Now	4ha	Grass	.	.	9195	.	3330	conv_low
2012	3	3	Now	4ha	Grass	.	.	8597	.	3330	conv_low
2013	4	3	Now	4ha	Grain	CC	.	4505	1100	880	conv_low
2014	5	3	Now	4ha	Grain	.	GCs	4505	1100	1310	conv_low
2015	1	4	Now	4ha	Grass	.	.	10167	.	3330	conv_low
2016	2	4	Now	4ha	Grass	.	.	9195	.	3330	conv_low
2017	3	4	Now	4ha	Grass	.	.	8597	.	3330	conv_low
2018	4	4	Now	4ha	Grain	CC	.	4505	1100	880	conv_low
2019	5	4	Now	4ha	Grain	.	GCs	4505	1100	1310	conv_low
2000	1	1	Now	7ha	Grass	.	.	10167	.	3330	conv_low
2001	2	1	Now	7ha	Grass	.	.	9195	.	3330	conv_low
2002	3	1	Now	7ha	Grain	CC	.	4505	1100	880	conv_low
2003	4	1	Now	7ha	Maize	.	.	11211	.	1420	conv_low
2004	5	1	Now	7ha	Grain	.	GCs	4505	1100	1590	conv_low
2005	1	2	Now	7ha	Grass	.	.	10167	.	3330	conv_low
2006	2	2	Now	7ha	Grass	.	.	9195	.	3330	conv_low
2007	3	2	Now	7ha	Grain	CC	.	4505	1100	880	conv_low
2008	4	2	Now	7ha	Maize	.	.	11211	.	1420	conv_low
2009	5	2	Now	7ha	Grain	.	GCs	4505	1100	1590	conv_low
2010	1	3	Now	7ha	Grass	.	.	10167	.	3330	conv_low
2011	2	3	Now	7ha	Grass	.	.	9195	.	3330	conv_low
2012	3	3	Now	7ha	Grain	CC	.	4505	1100	880	conv_low
2013	4	3	Now	7ha	Maize	.	.	11211	.	1420	conv_low
2014	5	3	Now	7ha	Grain	.	GCs	4505	1100	1590	conv_low
2015	1	4	Now	7ha	Grass	.	.	10167	.	3330	conv_low
2016	2	4	Now	7ha	Grass	.	.	9195	.	3330	conv_low
2017	3	4	Now	7ha	Grain	CC	.	4505	1100	880	conv_low
2018	4	4	Now	7ha	Maize	.	.	11211	.	1420	conv_low
2019	5	4	Now	7ha	Grain	.	GCs	4505	1100	1590	conv_low
2000	1	1	Now	9ha	Maize	CC	.	11211	285	1700	conv_low
2001	2	1	Now	9ha	Maize	CC	.	11211	285	1420	conv_low
2002	3	1	Now	9ha	Maize	.	.	11211	.	1420	conv_low
2003	4	1	Now	9ha	Grain	.	.	4505	.	1590	conv_low
2004	5	1	Now	9ha	Grain	.	.	4505	.	1590	conv_low
2005	1	2	Now	9ha	Maize	CC	.	11211	285	1700	conv_low
2006	2	2	Now	9ha	Maize	CC	.	11211	285	1420	conv_low
2007	3	2	Now	9ha	Maize	.	.	11211	.	1420	conv_low
2008	4	2	Now	9ha	Grain	.	.	4505	.	1590	conv_low
2009	5	2	Now	9ha	Grain	.	.	4505	.	1590	conv_low
2010	1	3	Now	9ha	Maize	CC	.	11211	285	1700	conv_low
2011	2	3	Now	9ha	Maize	CC	.	11211	285	1420	conv_low
2012	3	3	Now	9ha	Maize	.	.	11211	.	1420	conv_low
2013	4	3	Now	9ha	Grain	.	.	4505	.	1590	conv_low
2014	5	3	Now	9ha	Grain	.	.	4505	.	1590	conv_low
2015	1	4	Now	9ha	Maize	CC	.	11211	285	1700	conv_low
2016	2	4	Now	9ha	Maize	CC	.	11211	285	1420	conv_low
2017	3	4	Now	9ha	Maize	.	.	11211	.	1420	conv_low
2018	4	4	Now	9ha	Grain	.	.	4505	.	1590	conv_low
2019	5	4	Now	9ha	Grain	.	.	4505	.	1590	conv_low
2000	1	1	Now	4ha	Grass	.	.	7930	.	1830	org_org
2001	2	1	Now	4ha	Grass	.	.	7172	.	1830	org_org
2002	3	1	Now	4ha	Grain	.	.	3485	.	480	org_org
2003	4	1	Now	4ha	Pulses	.	.	2750	.	0	org_org
2004	5	1	Now	4ha	Grain	.	GCs	3485	770	760	org_org
2005	1	2	Now	4ha	Grass	.	.	7930	.	1830	org_org
2006	2	2	Now	4ha	Grass	.	.	7172	.	1830	org_org
2007	3	2	Now	4ha	Grain	.	.	3485	.	480	org_org
2008	4	2	Now	4ha	Pulses	.	.	2750	.	0	org_org
2009	5	2	Now	4ha	Grain	.	GCs	3485	770	760	org_org
2010	1	3	Now	4ha	Grass	.	.	7930	.	1830	org_org
2011	2	3	Now	4ha	Grass	.	.	7172	.	1830	org_org
2012	3	3	Now	4ha	Grain	.	.	3485	.	480	org_org
2013	4	3	Now	4ha	Pulses	.	.	2750	.	0	org_org
2014	5	3	Now	4ha	Grain	.	GCs	3485	770	760	org_org
2015	1	4	Now	4ha	Grass	.	.	7930	.	1830	org_org
2016	2	4	Now	4ha	Grass	.	.	7172	.	1830	org_org
2017	3	4	Now	4ha	Grain	.	.	3485	.	480	org_org
2018	4	4	Now	4ha	Pulses	.	.	2750	.	0	org_org
2019	5	4	Now	4ha	Grain	.	GCs	3485	770	760	org_org
2000	1	1	Now	7ha	Grass	.	.	7930	.	1830	org_org
2001	2	1	Now	7ha	Grass	.	.	7172	.	1830	org_org
2002	3	1	Now	7ha	Grass	.	.	6705	.	1830	org_org
2003	4	1	Now	7ha	Maize	CC	.	9603	200	540	org_org
2004	5	1	Now	7ha	Grain	.	GCs	3485	770	720	org_org
2005	1	2	Now	7ha	Grass	.	.	7930	.	1830	org_org
2006	2	2	Now	7ha	Grass	.	.	7172	.	1830	org_org
2007	3	2	Now	7ha	Grass	.	.	6705	.	1830	org_org
2008	4	2	Now	7ha	Maize	CC	.	9603	200	540	org_org
2009	5	2	Now	7ha	Grain	.	GCs	3485	770	720	org_org
2010	1	3	Now	7ha	Grass	.	.	7930	.	1830	org_org
2011	2	3	Now	7ha	Grass	.	.	7172	.	1830	org_org
2012	3	3	Now	7ha	Grass	.	.	6705	.	1830	org_org
2013	4	3	Now	7ha	Maize	CC	.	9603	200	540	org_org
2014	5	3	Now	7ha	Grain	.	GCs	3485	770	720	org_org
2015	1	4	Now	7ha	Grass	.	.	7930	.	1830	org_org
2016	2	4	Now	7ha	Grass	.	.	7172	.	1830	org_org
2017	3	4	Now	7ha	Grass	.	.	6705	.	1830	org_org
2018	4	4	Now	7ha	Maize	CC	.	9603	200	540	org_org
2019	5	4	Now	7ha	Grain	.	GCs	3485	770	720	org_org
2000	1	1	Now	9ha	Grass	.	.	7930	.	1830	org_org
2001	2	1	Now	9ha	Grass	.	.	7172	.	1830	org_org
2002	3	1	Now	9ha	Grass	.	.	6705	.	1830	org_org
2003	4	1	Now	9ha	Grain	.	.	3485	.	480	org_org
2004	5	1	Now	9ha	Grain	.	GCs	3485	770	870	org_org
2005	1	2	Now	9ha	Grass	.	.	7930	.	1830	org_org
2006	2	2	Now	9ha	Grass	.	.	7172	.	1830	org_org
2007	3	2	Now	9ha	Grass	.	.	6705	.	1830	org_org
2008	4	2	Now	9ha	Grain	.	.	3485	.	480	org_org
2009	5	2	Now	9ha	Grain	.	GCs	3485	770	870	org_org
2010	1	3	Now	9ha	Grass	.	.	7930	.	1830	org_org
2011	2	3	Now	9ha	Grass	.	.	7172	.	1830	org_org
2012	3	3	Now	9ha	Grass	.	.	6705	.	1830	org_org
2013	4	3	Now	9ha	Grain	.	.	3485	.	480	org_org
2014	5	3	Now	9ha	Grain	.	GCs	3485	770	870	org_org
2015	1	4	Now	9ha	Grass	.	.	7930	.	1830	org_org
2016	2	4	Now	9ha	Grass	.	.	7172	.	1830	org_org
2017	3	4	Now	9ha	Grass	.	.	6705	.	1830	org_org
2018	4	4	Now	9ha	Grain	.	.	3485	.	480	org_org
2019	5	4	Now	9ha	Grain	.	GCs	3485	770	870	org_org
